,,31.10.22,KW44
년,Jahr,01.11.22,
이,Dies,02.11.22,
말하다,sagen,03.11.22,
집,Heim,04.11.22,
문제,Problem,05.11.22,
여자,Frau,06.11.22,
아이,Kind,07.11.22,KW45
시간,Stunde,08.11.22,
너,Sie,09.11.22,
인간,Mensch,10.11.22,
어머니,Mutter,11.11.22,
세계,Welt,12.11.22,
학교,Schule,13.11.22,
날,mich,14.11.22,KW46
친구,Freund,15.11.22,
아버지,Vater,16.11.22,
남자,Mann,17.11.22,
몸,Karosserie,18.11.22,
얼굴,Gesicht,19.11.22,
물,Wasser,20.11.22,
길,Straße,21.11.22,KW47
처음,Erste,22.11.22,
시,Stadt,23.11.22,
이야기,Geschichte,24.11.22,
같이,zusammen,25.11.22,
선생님,Lehrer,26.11.22,
예술,Kunst,27.11.22,
역사,Geschichte,28.11.22,KW48
책,Buchen,29.11.22,
힘,Stärke,30.11.22,
나라,Land,01.12.22,
죽다,sterben,02.12.22,
학생,Schüler,03.12.22,
이름,Name,04.12.22,
이유,Grund,05.12.22,KW49
또는,oder,06.12.22,
남편,Ehemann,07.12.22,
밖,außen,08.12.22,
작다,klein,09.12.22,
문학,Literatur,10.12.22,
밤,Nacht,11.12.22,
높다,hoch,12.12.22,KW50
최근,jüngste,13.12.22,
컴퓨터,Computer,14.12.22,
먼저,Erste,15.12.22,
열다,offen,16.12.22,
머리,Kopf,17.12.22,
묻다,Fragen,18.12.22,
부분,Teil,19.12.22,KW51
아들,Sohn,20.12.22,
기다리다,Warten,21.12.22,
활동,Aktivität,22.12.22,
오늘,heute,23.12.22,
광고,Anzeige,24.12.22,
방,Zimmer,25.12.22,
정신,geistig,26.12.22,KW52
땅,Erde,27.12.22,
아침,Morgen,28.12.22,
끝,Ende,29.12.22,
영화,Film,30.12.22,
하늘,Himmel,31.12.22,
과학,Wissenschaft,01.01.23,
자연,Natur,02.01.23,KW1
밥,Reis,03.01.23,
프로그램,Programm,04.01.23,
그림,Malerei,05.01.23,
마시다,Getränk,06.01.23,
술,Alkohol,07.01.23,
사랑,Liebe,08.01.23,
전화,Telefon,09.01.23,KW2
커피,Kaffee,10.01.23,
맛,Geschmack,11.01.23,
매우,sehr,12.01.23,
음식,Lebensmittel,13.01.23,
성격,Charakter,14.01.23,
아내,Ehefrau,15.01.23,
가족,Familie,16.01.23,KW3
차,Wagen,17.01.23,
도시,Stadt,18.01.23,
작업,Arbeit,19.01.23,
나이,das Alter,20.01.23,
믿다,vertrauen,21.01.23,
배우다,lernen,22.01.23,
시,Stadt,23.01.23,KW4
예,Ja,24.01.23,
깊다,tief,25.01.23,
산,Berg,26.01.23,
새,Vogel,27.01.23,
문,Tür,28.01.23,
꽃,Blume,29.01.23,
갑자기,plötzlich,30.01.23,KW5 
바람,Wind,31.01.23,
마을,"Stadt, Dorf",01.02.23,
노래,Lied,02.02.23,
바다,Ozean,03.02.23,
불,Feuer,04.02.23,
신문,Zeitung,05.02.23,
이해하다,Verstehe,06.02.23,KW6
선생,Lehrer,07.02.23,
기분,Stimmung,08.02.23,
옷,Kleid,09.02.23,
전쟁,Krieg,10.02.23,
전,Ich bin,11.02.23,
꿈,Traum,12.02.23,
할머니,Oma,13.02.23,KW7
나무,Baum,14.02.23,
자다,schlafen,15.02.23,
연극,Theater,16.02.23,
걷다,Gehen,17.02.23,
노동,Arbeit,18.02.23,
